deal_id;target_country;location;investor_name;investor_country;intention;year;negotiation_status;implementation_status;intended_size;nature_of_deal;contract_farming
4576;Romania;Giurgeni;;;;;;;;;
4579;Cameroon;Bertoua;;;;;;;;;
4582;Ghana;Abenase;;;;;;;;;
4583;Ghana;Adeiso;;;;;;;;;
4587;Paraguay;Fuerte Olimpo;;;;;;;;;
4588;Kenya;Masinga;;;;;;;;;
4589;Kenya;Kiambere;;;;;;;;;
4590;Kenya;Emali;;;;;;;;;
4591;Ukraine;Volodars'k;;;;;;;;;
4592;Ukraine;Rivne;;;;;;;;;
4593;Ukraine;Kherson;;;;;;;;;
4594;Ukraine;Makedony;;;;;;;;;
4596;Ukraine;Volyns'ka oblast;;;;;;;;;
4597;South Africa;Porterville;;;;;;;;;
4598;Tunisia;Tunisia;;;;;;;;;
4599;Uganda;Apaa;;;;;;;;;
4600;Ukraine;Demky;;;;;;;;;
4605;Ukraine;Lutsk;;;;;;;;;
4607;Russian Federation;Voronezh Oblast;;;;;;;;;
4608;Romania;Banat;;;;;;;;;
4609;Ukraine;Novoazovs'k;;;;;;;;;
4611;Peru;Piura;;;;;;;;;
4612;Guyana;Guyana;;;;;;;;;
4614;Guyana;Upper Takutu-Upper Essequibo;;;;;;;;;
4615;Guyana;East Berbice-Corentyne;;;;;;;;;
4616;Ukraine;Velyka Oleksandrivka;;;;;;;;;
4617;Namibia;Katima Mulilo Airport;;;;;;;;;
4618;Ukraine;Chernihiv;;;;;;;;;
4619;Mauritania;Brakna;;;;;;;;;
4623;Ethiopia;Omo;;;;;;;;;
4624;Sudan;Atbara;;;;;;;;;
4625;Sudan;Omdurman;;;;;;;;;
4629;Ethiopia;Amhara;;;;;;;;;
4630;Nicaragua;Apawás;;;;;;;;;
4632;Ethiopia;Gemadro;;;;;;;;;
4633;Ethiopia;Agew Awi;;;;;;;;;
4634;Ethiopia;Southern Nations;;;;;;;;;
4637;Sri Lanka;Wilpattu National Park;;;;;;;;;
4638;Sri Lanka;Kuchchaveli;;;;;;;;;
4697;Mongolia;Tushig;;;;;;;;;
4699;Nicaragua;Rivas;;;;;;;;;
4700;Romania;Argeș County;;;;;;;;;
4701;Malaysia;Sabah;;;;;;;;;
4702;Malaysia;Sabah;;;;;;;;;
4703;Malaysia;Pamol;;;;;;;;;
4704;Malaysia;Pamol;;;;;;;;;
4705;Malaysia;Sabah;;;;;;;;;
4707;Malaysia;Kota Kinabatangan;;;;;;;;;
4708;Malaysia;Sabah;;;;;;;;;
4709;Malaysia;Kota Kinabatangan;;;;;;;;;
4710;Malaysia;Kota Kinabatangan;;;;;;;;;
4711;Malaysia;Kota Kinabatangan;;;;;;;;;
4712;Malaysia;Lahad Datu;;;;;;;;;
4713;Zambia;Mumbwa;;;;;;;;;
4714;Zambia;Mpande;;;;;;;;;
